date,risk_free_rate,ig_inception_acc,ig_inception_eur_acc,ig_inception_usd_acc,ig_inception_subordinated_acc,ig_ytd_acc,ig_ytd_eur_acc,ig_ytd_usd_acc,ig_ytd_subordinated_acc,xover_ytd_acc,bm_ig_inception_acc,bm_ig_ytd_acc,bm_xover_inception_acc,ig_inception_daily_returns,ig_inception_eur_daily_returns,ig_inception_usd_daily_returns,ig_inception_subordinated_daily_returns,ig_ytd_daily_returns,ig_ytd_eur_daily_returns,ig_ytd_usd_daily_returns,ig_ytd_subordinated_daily_returns,xover_ytd_daily_returns,bm_ig_inception_daily_returns,bm_ig_ytd_daily_returns,bm_xover_inception_daily_returns,ig_inception_excess_returns,ig_inception_eur_excess_returns,ig_inception_usd_excess_returns,ig_inception_subordinated_excess_returns,ig_ytd_excess_returns,ig_ytd_eur_excess_returns,ig_ytd_usd_excess_returns,ig_ytd_subordinated_excess_returns,xover_ytd_eur_excess_returns,ig_inception_rf_returns,ig_inception_eur_rf_returns,ig_inception_usd_rf_returns,ig_inception_subordinated_rf_returns,ig_ytd_rf_returns,ig_ytd_eur_rf_returns,ig_ytd_usd_rf_returns,ig_ytd_subordinated_rf_returns,xover_ytd_eur_rf_returns,bm_ig_inception_rf_returns,bm_ig_ytd_rf_returns,bm_xover_inception_rf_returns,ig_inception_downsidedev,ig_inception_eur_downsidedev,ig_inception_usd_downsidedev,ig_inception_subordinated_downsidedev,ig_ytd_downsidedev,ig_ytd_eur_downsidedev,ig_ytd_usd_downsidedev,ig_ytd_subordinated_downsidedev,xover_ytd_eur_downsidedev,bm_ig_inception_downsidedev,bm_ig_ytd_downsidedev,bm_xover_inception_downsidedev,ig_inception_excess_returns_acc,ig_inception_eur_excess_returns_acc,ig_inception_usd_excess_returns_acc,ig_inception_subordinated_excess_returns_acc,ig_ytd_excess_returns_acc,ig_ytd_eur_excess_returns_acc,ig_ytd_usd_excess_returns_acc,ig_ytd_subordinated_excess_returns_acc,xover_ytd_eur_excess_returns_acc,ig_inception_sum_mv,ig_inception_eur_mv,ig_inception_usd_mv,ig_inception_subordinated_mv,xover_ytd_mv,ig_inception_absolute_returns,ig_inception_eur_absolute_returns,ig_inception_usd_absolute_returns,ig_inception_subordinated_absolute_returns,xover_ytd_absolute_returns,date_monthly_te,monthly_rolling_te,date_quarterly_te,quarterly_rolling_te,date_6m_te,6m_rolling_te
7/25/2018,0.00086448%,-0.36%,0.02%,1.46%,-2.78%,0.02%,-0.23%,2.88%,-4.23%,,-0.06%,-3.50%,,0.04%,0.03%,0.11%,0.07%,0.09%,0.02%,0.16%,0.70%,,0.06%,0.15%,,-0.01%,-0.02%,0.06%,0.01%,-0.06%,-0.13%,0.01%,0.55%,,0.04%,0.03%,0.11%,0.07%,0.09%,0.02%,0.16%,0.69%,,0.05%,0.15%,,,,,,,,,,,,,,-0.31%,0.07%,1.52%,-2.72%,0.08%,3.28%,6.39%,-0.73%,," 3,056,383,177 "," 2,421,202,961 "," 141,312,889 "," 493,867,327 ",  ," 3,604,295 "," 5,621,139 "," 1,251,565 "," (3,268,408)",  ,7/25/2018,0.205%,7/25/2018,0.479%,,#N/A
7/26/2018,0.00082486%,-0.20%,0.11%,1.78%,-2.32%,0.23%,0.00%,3.03%,-3.42%,,0.01%,-3.12%,,0.16%,0.09%,0.32%,0.46%,0.21%,0.23%,0.15%,0.81%,,0.06%,0.38%,,0.10%,0.03%,0.26%,0.39%,-0.17%,-0.15%,-0.23%,0.43%,,0.16%,0.09%,0.32%,0.46%,0.21%,0.23%,0.15%,0.81%,,0.06%,0.38%,,,,,,,,,,,,,,-0.21%,0.10%,1.77%,-2.33%,0.22%,3.13%,6.15%,-0.30%,," 3,190,521,931 "," 2,423,635,455 "," 141,591,439 "," 625,295,036 ",  ," 8,687,931 "," 8,053,633 "," 1,530,115 "," (895,817)",  ,7/26/2018,0.205%,7/26/2018,0.490%,,#N/A
7/27/2018,0.00081054%,-0.18%,0.13%,1.79%,-2.27%,0.37%,0.15%,3.16%,-3.34%,,0.01%,-3.03%,,0.02%,0.02%,0.01%,0.05%,0.14%,0.15%,0.13%,0.08%,,0.01%,0.09%,,0.02%,0.01%,0.00%,0.04%,0.05%,0.06%,0.04%,-0.01%,,0.02%,0.02%,0.01%,0.05%,0.14%,0.15%,0.13%,0.08%,,0.00%,0.09%,,,,0.01%,,,,,,,0.01%,,,-0.19%,0.12%,1.78%,-2.29%,0.35%,3.18%,6.19%,-0.31%,," 3,127,612,332 "," 2,407,401,076 "," 142,590,249 "," 577,621,007 ",  ," 9,729,511 "," 7,926,154 "," 2,528,925 "," (725,568)",  ,7/27/2018,0.224%,7/27/2018,0.486%,,#N/A
7/30/2018,0.00084679%,-0.26%,0.04%,1.72%,-2.34%,0.54%,0.29%,3.42%,-3.56%,,-0.16%,-2.91%,,-0.08%,-0.09%,-0.07%,-0.07%,0.17%,0.14%,0.26%,-0.22%,,-0.17%,0.12%,,0.09%,0.09%,0.10%,0.10%,0.05%,0.02%,0.14%,-0.34%,,-0.08%,-0.09%,-0.07%,-0.07%,0.17%,0.14%,0.26%,-0.22%,,-0.17%,0.12%,,-0.08%,-0.09%,-0.07%,-0.07%,,,,-0.22%,,-0.17%,,,-0.10%,0.20%,1.88%,-2.19%,0.70%,3.20%,6.33%,-0.65%,," 3,124,079,732 "," 2,405,112,551 "," 141,819,319 "," 577,147,863 ",  ," 6,196,911 "," 5,637,629 "," 1,757,994 "," (1,198,712)",  ,7/30/2018,0.224%,7/30/2018,0.494%,,#N/A
7/31/2018,0.00084859%,-0.26%,0.04%,1.77%,-2.34%,0.54%,0.29%,3.42%,-3.56%,,-0.08%,-2.91%,,0.00%,0.00%,0.06%,0.01%,0.00%,0.00%,0.00%,0.00%,,0.08%,0.00%,,-0.08%,-0.08%,-0.02%,-0.07%,0.00%,0.00%,0.00%,0.00%,,0.00%,-0.01%,0.05%,0.01%,0.00%,0.00%,0.00%,0.00%,,0.08%,0.00%,,0.00%,0.00%,,0.01%,0.00%,0.00%,0.00%,0.00%,,,0.00%,,-0.18%,0.12%,1.85%,-2.26%,0.62%,3.20%,6.33%,-0.65%,," 3,085,460,403 "," 2,366,989,044 "," 141,241,956 "," 577,229,403 ",  ," 5,751,981 "," 5,688,522 "," 1,180,631 "," (1,117,172)",  ,7/31/2018,0.236%,7/31/2018,0.499%,,#N/A
8/1/2018,0.00100661%,-0.31%,-0.03%,1.82%,-2.32%,0.59%,0.36%,3.45%,-3.79%,,-0.20%,-2.81%,,-0.05%,-0.07%,0.05%,0.01%,0.05%,0.08%,0.03%,-0.24%,,-0.12%,0.10%,,0.08%,0.06%,0.17%,0.14%,-0.05%,-0.03%,-0.08%,-0.34%,,-0.05%,-0.07%,0.05%,0.01%,0.05%,0.08%,0.03%,-0.24%,,-0.12%,0.10%,,-0.05%,-0.07%,,,,,0.03%,-0.24%,,-0.12%,,,-0.10%,0.17%,2.03%,-2.12%,0.80%,3.17%,6.26%,-0.99%,," 3,210,680,649 "," 2,387,083,533 "," 141,946,444 "," 681,650,672 ",  ," 5,609,801 "," 4,616,926 "," 1,885,120 "," (892,245)",  ,8/1/2018,0.253%,8/1/2018,0.502%,,#N/A
8/2/2018,0.00099829%,-0.32%,0.01%,1.58%,-2.50%,0.64%,0.45%,3.40%,-3.27%,,-0.11%,-2.58%,,-0.02%,0.04%,-0.24%,-0.17%,0.05%,0.09%,-0.05%,0.53%,,0.10%,0.23%,,-0.11%,-0.05%,-0.34%,-0.27%,-0.18%,-0.14%,-0.28%,0.30%,,-0.02%,0.04%,-0.24%,-0.18%,0.05%,0.09%,-0.05%,0.53%,,0.09%,0.23%,,-0.02%,,-0.24%,-0.17%,,,-0.05%,,,,,,-0.21%,0.12%,1.69%,-2.39%,0.75%,3.04%,5.98%,-0.68%,," 3,210,988,890 "," 2,388,095,060 "," 142,459,540 "," 680,434,291 ",  ," 5,918,042 "," 5,628,453 "," 2,398,216 "," (2,108,627)",  ,8/2/2018,0.256%,8/2/2018,0.514%,,#N/A
8/3/2018,0.00112729%,-0.22%,0.15%,1.56%,-2.51%,0.82%,0.71%,3.44%,-2.83%,,0.10%,-2.20%,,0.10%,0.14%,-0.02%,-0.01%,0.18%,0.26%,0.05%,0.43%,,0.21%,0.38%,,-0.11%,-0.07%,-0.23%,-0.22%,-0.20%,-0.12%,-0.33%,0.06%,,0.10%,0.14%,-0.02%,-0.01%,0.18%,0.25%,0.05%,0.43%,,0.21%,0.38%,,,,-0.02%,-0.01%,,,,,,,,,-0.33%,0.05%,1.46%,-2.61%,0.72%,2.91%,5.65%,-0.63%,," 3,214,869,362 "," 2,391,735,303 "," 142,694,515 "," 680,439,543 ",  ," 9,798,514 "," 9,268,697 "," 2,633,191 "," (2,103,374)",  ,8/3/2018,0.283%,8/3/2018,0.525%,,#N/A
8/6/2018,0.00107211%,-0.16%,0.24%,1.57%,-2.54%,1.37%,1.42%,3.66%,-1.31%,,0.17%,-1.24%,,0.06%,0.09%,0.01%,-0.03%,0.55%,0.71%,0.22%,1.52%,,0.07%,0.96%,,-0.01%,0.02%,-0.06%,-0.10%,-0.40%,-0.24%,-0.74%,0.56%,,0.06%,0.09%,0.01%,-0.03%,0.55%,0.71%,0.22%,1.52%,,0.07%,0.96%,,,,0.01%,-0.03%,,,,,,,,,-0.34%,0.07%,1.40%,-2.71%,1.20%,2.67%,4.91%,-0.06%,," 3,217,282,262 "," 2,393,734,455 "," 143,368,111 "," 680,179,695 ",  ," 12,211,414 "," 11,267,849 "," 3,306,787 "," (2,363,222)",  ,8/6/2018,0.304%,8/6/2018,0.522%,,#N/A
8/7/2018,0.00087558%,-0.14%,0.25%,1.62%,-2.48%,1.19%,1.22%,3.57%,-1.91%,,0.13%,-1.47%,,0.02%,0.01%,0.04%,0.06%,-0.19%,-0.20%,-0.10%,-0.60%,,-0.04%,-0.23%,,0.07%,0.06%,0.09%,0.10%,0.04%,0.02%,0.13%,-0.37%,,0.02%,0.01%,0.04%,0.06%,-0.19%,-0.20%,-0.10%,-0.60%,,-0.04%,-0.23%,,,,,,-0.19%,-0.20%,-0.10%,-0.60%,,-0.04%,-0.23%,,-0.27%,0.12%,1.49%,-2.61%,1.06%,2.69%,5.04%,-0.44%,," 3,216,672,531 "," 2,431,978,560 "," 142,707,085 "," 641,986,886 ",  ," 12,249,292 "," 11,554,273 "," 2,645,761 "," (1,950,741)",  ,8/7/2018,0.304%,8/7/2018,0.526%,,#N/A
8/8/2018,0.00081915%,-0.15%,0.25%,1.68%,-2.50%,1.15%,1.10%,3.76%,-2.52%,,0.20%,-1.58%,,-0.01%,-0.01%,0.06%,-0.02%,-0.03%,-0.12%,0.19%,-0.61%,,0.07%,-0.11%,,-0.08%,-0.08%,-0.01%,-0.09%,0.08%,0.00%,0.30%,-0.50%,,-0.01%,-0.01%,0.06%,-0.02%,-0.03%,-0.12%,0.19%,-0.61%,,0.07%,-0.12%,,-0.01%,-0.01%,,-0.02%,-0.03%,-0.12%,,-0.61%,,,-0.11%,,-0.35%,0.04%,1.48%,-2.70%,0.95%,2.69%,5.34%,-0.93%,," 3,214,397,547 "," 2,429,333,475 "," 143,048,424 "," 642,015,648 ",  ," 12,945,278 "," 11,880,157 "," 2,987,100 "," (1,921,980)",  ,8/8/2018,0.297%,8/8/2018,0.532%,,#N/A
8/9/2018,0.00088894%,-0.07%,0.34%,1.72%,-2.49%,1.02%,1.14%,3.46%,-3.25%,,0.34%,-1.67%,,0.07%,0.09%,0.04%,0.01%,-0.14%,0.04%,-0.29%,-0.74%,,0.14%,-0.09%,,-0.07%,-0.05%,-0.10%,-0.13%,-0.05%,0.13%,-0.20%,-0.65%,,0.07%,0.09%,0.04%,0.01%,-0.14%,0.04%,-0.29%,-0.74%,,0.14%,-0.09%,,,,,0.01%,-0.14%,,-0.29%,-0.74%,,,-0.09%,,-0.42%,0.00%,1.38%,-2.83%,0.68%,2.81%,5.14%,-1.58%,," 3,217,899,471 "," 2,432,493,639 "," 143,079,044 "," 642,326,788 ",  ," 16,447,202 "," 15,040,321 "," 3,017,720 "," (1,610,840)",  ,8/9/2018,0.300%,8/9/2018,0.535%,,#N/A
8/10/2018,0.00084402%,0.00%,0.51%,1.62%,-2.74%,0.98%,1.20%,3.22%,-3.00%,,0.42%,-1.61%,,0.07%,0.17%,-0.10%,-0.25%,-0.04%,0.06%,-0.25%,0.25%,,0.08%,0.07%,,-0.01%,0.09%,-0.17%,-0.33%,-0.10%,0.00%,-0.31%,0.19%,,0.07%,0.17%,-0.10%,-0.25%,-0.04%,0.06%,-0.25%,0.25%,,0.08%,0.07%,,,,-0.10%,-0.25%,-0.04%,,-0.25%,,,,,,-0.42%,0.09%,1.20%,-3.16%,0.56%,2.81%,4.82%,-1.39%,," 3,288,814,378 "," 2,581,290,166 "," 144,439,002 "," 563,085,209 ",  ," 19,354,224 "," 18,398,301 "," 4,377,678 "," (3,421,756)",  ,8/10/2018,0.302%,8/10/2018,0.517%,,#N/A
8/13/2018,0.00076017%,-0.07%,0.49%,1.54%,-3.04%,1.14%,1.14%,3.83%,-3.26%,,0.34%,-1.71%,,-0.07%,-0.02%,-0.08%,-0.30%,0.16%,-0.07%,0.61%,-0.26%,,-0.08%,-0.10%,,0.01%,0.06%,0.00%,-0.22%,0.26%,0.04%,0.71%,-0.16%,,-0.07%,-0.02%,-0.08%,-0.30%,0.16%,-0.07%,0.61%,-0.26%,,-0.08%,-0.10%,,-0.07%,-0.02%,-0.08%,-0.30%,,-0.07%,,-0.26%,,-0.08%,-0.10%,,-0.41%,0.15%,1.20%,-3.38%,0.81%,2.85%,5.53%,-1.56%,," 3,335,940,911 "," 2,533,096,923 "," 145,167,609 "," 657,676,379 ",  ," 17,494,974 "," 17,634,535 "," 5,106,285 "," (5,245,846)",  ,8/13/2018,0.298%,8/13/2018,0.511%,,#N/A
8/14/2018,0.00054297%,-0.10%,0.45%,1.58%,-3.06%,1.54%,1.50%,4.22%,-2.60%,,0.33%,-1.20%,,-0.03%,-0.04%,0.04%,-0.02%,0.40%,0.37%,0.40%,0.66%,,-0.01%,0.50%,,-0.02%,-0.03%,0.05%,-0.01%,-0.11%,-0.14%,-0.11%,0.16%,,-0.03%,-0.04%,0.04%,-0.02%,0.40%,0.36%,0.40%,0.66%,,-0.01%,0.50%,,-0.03%,-0.04%,,-0.02%,,,,,,-0.01%,,,-0.44%,0.12%,1.25%,-3.40%,1.21%,2.71%,5.43%,-1.40%,," 3,311,297,504 "," 2,554,110,746 "," 145,156,304 "," 612,030,455 ",  ," 16,764,982 "," 16,987,726 "," 5,094,979 "," (5,317,723)",  ,8/14/2018,0.291%,8/14/2018,0.496%,,#N/A
8/15/2018,0.00051617%,-0.09%,0.50%,1.61%,-3.19%,1.51%,1.47%,4.25%,-2.87%,,0.42%,-1.28%,,0.01%,0.05%,0.03%,-0.13%,-0.03%,-0.03%,0.02%,-0.27%,,0.09%,-0.08%,,-0.08%,-0.05%,-0.07%,-0.22%,0.05%,0.05%,0.10%,-0.19%,,0.01%,0.05%,0.02%,-0.13%,-0.03%,-0.03%,0.02%,-0.27%,,0.09%,-0.08%,,0.01%,,,-0.13%,-0.03%,-0.03%,0.02%,-0.27%,,,-0.08%,,-0.52%,0.07%,1.18%,-3.61%,1.08%,2.76%,5.53%,-1.59%,," 3,314,079,438 "," 2,556,287,517 "," 146,314,295 "," 611,477,625 ",  ," 19,546,916 "," 19,164,497 "," 6,252,971 "," (5,870,552)",  ,8/15/2018,0.281%,8/15/2018,0.501%,,#N/A
8/16/2018,0.00057445%,-0.12%,0.48%,1.62%,-3.30%,1.41%,1.36%,4.26%,-3.33%,,0.34%,-1.42%,,-0.03%,-0.02%,0.02%,-0.11%,-0.10%,-0.11%,0.02%,-0.46%,,-0.08%,-0.13%,,0.05%,0.07%,0.10%,-0.02%,0.03%,0.02%,0.15%,-0.33%,,-0.03%,-0.02%,0.02%,-0.11%,-0.10%,-0.11%,0.02%,-0.46%,,-0.09%,-0.13%,,-0.03%,-0.02%,,-0.11%,-0.10%,-0.11%,0.02%,-0.46%,,-0.08%,-0.13%,,-0.46%,0.14%,1.29%,-3.63%,1.07%,2.77%,5.68%,-1.91%,," 3,312,418,323 "," 2,555,856,400 "," 145,759,962 "," 610,801,961 ",  ," 17,885,801 "," 18,733,380 "," 5,698,637 "," (6,546,216)",  ,8/16/2018,0.290%,8/16/2018,0.492%,,#N/A
8/17/2018,0.00047312%,-0.09%,0.52%,1.66%,-3.28%,1.47%,1.38%,4.42%,-3.38%,,0.41%,-1.41%,,0.03%,0.04%,0.04%,0.01%,0.06%,0.02%,0.15%,-0.05%,,0.07%,0.01%,,-0.03%,-0.03%,-0.03%,-0.05%,0.05%,0.01%,0.14%,-0.05%,,0.03%,0.04%,0.04%,0.01%,0.06%,0.02%,0.15%,-0.05%,,0.07%,0.01%,,,,,,,,,-0.05%,,,,,-0.49%,0.11%,1.26%,-3.69%,1.06%,2.79%,5.82%,-1.97%,," 3,313,475,101 "," 2,557,036,042 "," 145,504,748 "," 610,934,311 ",  ," 18,942,579 "," 19,913,022 "," 5,443,424 "," (6,413,867)",  ,8/17/2018,0.290%,8/17/2018,0.493%,,#N/A
8/20/2018,0.00052280%,-0.08%,0.52%,1.72%,-3.25%,1.44%,1.40%,4.38%,-3.64%,,0.40%,-1.41%,,0.01%,0.00%,0.06%,0.03%,-0.03%,0.02%,-0.04%,-0.26%,,-0.01%,0.00%,,0.02%,0.01%,0.07%,0.04%,-0.03%,0.02%,-0.03%,-0.26%,,0.00%,0.00%,0.06%,0.03%,-0.03%,0.02%,-0.04%,-0.26%,,-0.01%,0.00%,,0.01%,0.00%,,,-0.03%,,-0.04%,-0.26%,,-0.01%,0.00%,,-0.48%,0.12%,1.33%,-3.64%,1.05%,2.81%,5.79%,-2.23%,," 3,328,354,396 "," 2,571,895,722 "," 145,234,679 "," 611,223,995 ",  ," 19,194,219 "," 20,145,047 "," 5,173,355 "," (6,124,182)",  ,8/20/2018,0.287%,8/20/2018,0.492%,,#N/A
8/21/2018,0.00047248%,-0.06%,0.43%,1.94%,-2.81%,1.39%,1.28%,4.32%,-3.29%,,0.29%,-1.56%,,0.02%,-0.09%,0.21%,0.44%,-0.05%,-0.12%,-0.06%,0.35%,,-0.11%,-0.15%,,0.13%,0.02%,0.32%,0.54%,0.10%,0.03%,0.09%,0.50%,,0.02%,-0.09%,0.21%,0.44%,-0.06%,-0.13%,-0.06%,0.35%,,-0.11%,-0.15%,,,-0.09%,,,-0.05%,-0.12%,-0.06%,,,-0.11%,-0.15%,,-0.35%,0.14%,1.65%,-3.10%,1.10%,2.84%,5.88%,-1.73%,," 3,368,014,488 "," 2,629,167,603 "," 124,890,318 "," 613,956,568 ",  ," 18,793,978 "," 17,762,862 "," 4,422,726 "," (3,391,610)",  ,8/21/2018,0.286%,8/21/2018,0.509%,,#N/A
8/22/2018,0.00046036%,-0.09%,0.36%,2.05%,-2.70%,1.33%,1.31%,4.15%,-3.51%,,0.20%,-1.50%,,-0.03%,-0.07%,0.11%,0.11%,-0.06%,0.04%,-0.17%,-0.22%,,-0.09%,0.06%,,0.07%,0.03%,0.20%,0.20%,-0.13%,-0.03%,-0.23%,-0.28%,,-0.03%,-0.07%,0.11%,0.11%,-0.06%,0.04%,-0.17%,-0.22%,,-0.10%,0.06%,,-0.03%,-0.07%,,,-0.06%,,-0.17%,-0.22%,,-0.09%,,,-0.28%,0.16%,1.85%,-2.90%,1.13%,2.81%,5.65%,-2.01%,," 3,410,796,574 "," 2,672,088,464 "," 124,030,428 "," 614,677,681 ",  ," 16,974,081 "," 16,081,740 "," 3,562,837 "," (2,670,496)",  ,8/22/2018,0.314%,8/22/2018,0.512%,,#N/A
8/23/2018,0.00057079%,-0.14%,0.32%,2.13%,-2.82%,1.35%,1.36%,4.19%,-3.71%,,0.18%,-1.48%,,-0.05%,-0.04%,0.08%,-0.11%,0.02%,0.05%,0.04%,-0.20%,,-0.02%,0.02%,,-0.03%,-0.02%,0.10%,-0.09%,0.00%,0.03%,0.02%,-0.22%,,-0.05%,-0.04%,0.08%,-0.11%,0.02%,0.05%,0.04%,-0.20%,,-0.02%,0.02%,,-0.05%,-0.04%,,-0.11%,,,,-0.20%,,-0.02%,,,-0.32%,0.14%,1.95%,-2.99%,1.17%,2.84%,5.67%,-2.23%,," 3,462,199,908 "," 2,700,773,135 "," 124,495,839 "," 636,930,934 ",  ," 15,663,951 "," 15,009,678 "," 4,028,247 "," (3,373,974)",  ,8/23/2018,0.320%,8/23/2018,0.474%,,#N/A
8/24/2018,0.00062701%,-0.17%,0.28%,2.16%,-2.85%,1.40%,1.39%,4.30%,-3.65%,,0.14%,-1.49%,,-0.03%,-0.03%,0.03%,-0.03%,0.05%,0.02%,0.11%,0.06%,,-0.03%,-0.01%,,0.00%,0.00%,0.06%,0.00%,0.07%,0.03%,0.12%,0.07%,,-0.03%,-0.03%,0.03%,-0.03%,0.05%,0.02%,0.11%,0.06%,,-0.03%,-0.01%,,-0.03%,-0.03%,,-0.03%,,,,,,-0.03%,-0.01%,,-0.31%,0.14%,2.01%,-2.99%,1.26%,2.88%,5.79%,-2.16%,," 3,509,541,080 "," 2,748,430,018 "," 124,357,317 "," 636,753,745 ",  ," 14,642,347 "," 14,303,785 "," 3,889,725 "," (3,551,162)",  ,8/24/2018,0.305%,8/24/2018,0.474%,8/24/2018,0.661%
8/27/2018,0.00061927%,-0.16%,0.29%,2.17%,-2.84%,1.41%,1.26%,4.52%,-3.68%,,0.13%,-1.59%,,0.01%,0.01%,0.01%,0.01%,0.00%,-0.13%,0.23%,-0.03%,,-0.01%,-0.09%,,0.02%,0.02%,0.02%,0.02%,0.10%,-0.04%,0.32%,0.06%,,0.01%,0.01%,0.01%,0.01%,0.00%,-0.13%,0.23%,-0.03%,,-0.01%,-0.10%,,0.01%,0.01%,0.01%,0.01%,0.00%,-0.13%,,-0.03%,,-0.01%,-0.09%,,-0.29%,0.16%,2.04%,-2.97%,1.28%,2.84%,6.11%,-2.09%,," 3,481,047,304 "," 2,733,197,321 "," 111,121,476 "," 636,728,508 ",  ," 14,077,562 "," 14,106,277 "," 3,547,685 "," (3,576,400)",  ,8/27/2018,0.305%,8/27/2018,0.459%,8/27/2018,0.659%
8/28/2018,0.00063443%,-0.30%,0.10%,2.26%,-2.78%,1.48%,1.26%,4.66%,-3.49%,,-0.05%,-1.57%,,-0.14%,-0.19%,0.09%,0.06%,0.07%,0.01%,0.14%,0.19%,,-0.18%,0.01%,,0.05%,-0.01%,0.27%,0.24%,0.06%,0.00%,0.13%,0.18%,,-0.14%,-0.19%,0.09%,0.06%,0.07%,0.01%,0.14%,0.19%,,-0.18%,0.01%,,-0.14%,-0.19%,,,,0.01%,,,,-0.18%,,,-0.25%,0.15%,2.31%,-2.73%,1.53%,2.84%,6.24%,-1.92%,," 3,362,562,492 "," 2,615,150,982 "," 110,359,134 "," 637,052,375 ",  ," 8,136,661 "," 8,603,850 "," 2,785,343 "," (3,252,533)",  ,8/28/2018,0.290%,8/28/2018,0.462%,8/28/2018,0.659%
8/29/2018,0.00075582%,-0.39%,-0.02%,2.28%,-2.78%,1.38%,1.00%,4.74%,-3.17%,,-0.18%,-1.81%,,-0.09%,-0.12%,0.02%,0.00%,-0.09%,-0.27%,0.07%,0.32%,,-0.13%,-0.23%,,0.04%,0.01%,0.15%,0.13%,0.14%,-0.04%,0.30%,0.55%,,-0.09%,-0.12%,0.02%,0.00%,-0.09%,-0.27%,0.07%,0.31%,,-0.13%,-0.23%,,-0.09%,-0.12%,,0.00%,-0.09%,-0.27%,,,,-0.13%,-0.23%,,-0.20%,0.16%,2.46%,-2.59%,1.56%,2.80%,6.54%,-1.37%,," 3,359,921,909 "," 2,611,945,757 "," 110,942,722 "," 637,033,430 ",  ," 5,496,078 "," 5,398,624 "," 3,368,931 "," (3,271,478)",  ,8/29/2018,0.286%,8/29/2018,0.460%,8/29/2018,0.660%
8/30/2018,0.00077572%,-0.25%,0.17%,2.34%,-2.82%,1.70%,1.30%,5.06%,-2.81%,,-0.01%,-1.48%,,0.14%,0.18%,0.06%,-0.04%,0.32%,0.31%,0.33%,0.36%,,0.17%,0.33%,,-0.04%,0.01%,-0.11%,-0.22%,-0.01%,-0.02%,0.00%,0.04%,,0.14%,0.18%,0.06%,-0.05%,0.32%,0.31%,0.32%,0.36%,,0.17%,0.33%,,,,,-0.04%,,,,,,,,,-0.24%,0.18%,2.35%,-2.81%,1.71%,2.78%,6.54%,-1.33%,," 3,364,254,220 "," 2,616,772,594 "," 110,742,789 "," 636,738,837 ",  ," 9,828,389 "," 10,225,462 "," 3,168,998 "," (3,566,071)",  ,8/30/2018,0.278%,8/30/2018,0.461%,8/30/2018,0.660%
8/31/2018,0.00086968%,-0.25%,0.19%,2.37%,-2.90%,1.73%,1.35%,5.07%,-2.78%,,-0.04%,-1.42%,,0.00%,0.02%,0.02%,-0.08%,0.03%,0.05%,0.00%,0.03%,,-0.03%,0.06%,,0.03%,0.05%,0.05%,-0.05%,-0.02%,-0.01%,-0.05%,-0.02%,,0.00%,0.02%,0.02%,-0.08%,0.03%,0.05%,0.00%,0.03%,,-0.03%,0.05%,,0.00%,,,-0.08%,,,0.00%,,,-0.03%,,,-0.21%,0.23%,2.41%,-2.86%,1.77%,2.78%,6.49%,-1.35%,," 3,364,109,602 "," 2,616,905,741 "," 111,098,186 "," 636,105,674 ",  ," 9,683,771 "," 10,358,609 "," 3,524,396 "," (4,199,234)",  ,8/31/2018,0.258%,8/31/2018,0.437%,8/31/2018,0.660%
9/3/2018,0.00064166%,-0.33%,0.12%,2.37%,-3.06%,1.80%,1.42%,5.05%,-2.43%,,-0.12%,-1.32%,,-0.08%,-0.06%,0.00%,-0.16%,0.07%,0.07%,-0.01%,0.35%,,-0.08%,0.10%,,0.00%,0.01%,0.08%,-0.08%,-0.03%,-0.03%,-0.11%,0.25%,,-0.08%,-0.07%,0.00%,-0.16%,0.07%,0.07%,-0.01%,0.34%,,-0.08%,0.10%,,-0.08%,-0.06%,0.00%,-0.16%,,,-0.01%,,,-0.08%,,,-0.21%,0.24%,2.49%,-2.94%,1.92%,2.75%,6.38%,-1.11%,," 3,338,397,590 "," 2,592,084,797 "," 111,436,063 "," 634,876,730 ",  ," 6,367,710 "," 7,933,615 "," 3,862,272 "," (5,428,178)",  ,9/3/2018,0.234%,9/3/2018,0.434%,9/3/2018,0.659%
9/4/2018,0.00057571%,-0.40%,0.03%,2.38%,-3.08%,1.83%,1.37%,5.24%,-2.47%,,-0.25%,-1.36%,,-0.07%,-0.09%,0.01%,-0.01%,0.03%,-0.05%,0.19%,-0.04%,,-0.13%,-0.03%,,0.06%,0.04%,0.14%,0.12%,0.06%,-0.02%,0.22%,-0.01%,,-0.07%,-0.09%,0.01%,-0.02%,0.03%,-0.05%,0.19%,-0.04%,,-0.13%,-0.03%,,-0.07%,-0.09%,0.01%,-0.01%,,-0.05%,,-0.04%,,-0.13%,-0.03%,,-0.15%,0.28%,2.63%,-2.83%,2.08%,2.73%,6.60%,-1.12%,," 3,462,984,835 "," 2,716,182,661 "," 111,955,394 "," 634,846,780 ",  ," 4,787,528 "," 5,864,053 "," 4,381,603 "," (5,458,128)",  ,9/4/2018,0.233%,9/4/2018,0.434%,9/4/2018,0.660%
